"x","y",""
-95.7834812659505,40.1034687163429,11747
-95.6015270422879,37.4491494355844,11762
-95.8333389419797,36.4922918940083,11773
-96.2152736611399,38.8947133628772,11793
-96.790372363824,38.5965168478088,11801
-91.602652085546,36.808775790234,11801
-94.5849307995025,39.9617530966298,11811
-97.4447252355251,41.4932070078449,11831
-91.9786777920756,38.7355595624195,11832
-97.9736599322144,37.1416921747969,11872
-94.6101866081092,43.175013739814,11904
-92.3519356135014,40.5466261023776,11905
-95.6897486574683,36.4639979994045,11911
-93.4407862234596,37.636987762724,11959
-93.8838308673087,39.121048934956,11973
-95.966447647262,39.8905984761314,11975
-93.8268127623681,35.4441376162813,12013
-92.808144768301,42.5555965157346,12014
-98.1543938588086,38.4334934132294,12044
-95.3977406430725,40.1496083049224,12053
-93.5257367115203,35.4600902797775,12057
-92.5502667944614,36.9823034184174,12057
-96.9102404877279,40.7142527328925,12081
-96.4245631076131,39.7913851590948,12101
-96.4266539528701,37.3696793766813,12130
-93.1169217113141,39.0207797030107,12156
-97.6919651642177,41.0041330235199,12162
-95.023479796547,37.3419460097448,12165
-94.1916837446127,36.9877645207689,12168
-91.4174602474752,38.0459717048453,12183
-93.6039314433667,39.0361057726787,12205
-96.2023242819789,42.7387481687711,12262
-94.3591379146758,40.304869193782,12295
-97.4398701522234,40.4041657226281,12301
-97.0289351898912,39.3920727802561,12310
-96.2700070418153,42.3929964715735,12317
-97.7170933443788,38.1800545232491,12324
-97.7846420291546,39.5333965888367,12330
-92.3725803266946,38.8293092327313,12341
-97.3557329062108,38.0545417351769,12356
-97.7987839948121,40.593646930729,12358
-91.025267527971,38.3309254313008,12367
-95.8268955867473,38.8546920998142,12374
-97.4666688289228,38.2810147965447,12386
-93.3129140190515,39.775144811918,12389
-93.8927142727855,36.4514948355154,12391
-97.2993630483482,39.4420865571247,12421
-95.8494414552781,38.3901445476459,12423
-91.462172716457,41.0993958899872,12468
-93.3341110847626,42.8078572547184,12562
-93.447091171119,35.714011660044,12566
-95.3778794254843,39.2562042979644,12574
-92.5726026292625,42.1509768480555,12576
-93.265407461274,39.2340773364649,12580
-94.1305460851375,38.0120929444329,12626
-91.7783215358589,40.9371678719418,12656
-95.5564374919716,41.0556381775187,12665
-94.9796531811092,36.3421581650273,12673
-97.8884021170173,40.4269850367801,12683
-96.0367941330854,36.6362570004658,12717
-97.5099601760242,39.6566379649685,12732
-96.1421303372565,37.4123329857485,12734
-95.4254477038715,40.8720279747741,12767
-94.9450507905069,36.1168621780471,12768
-95.4789768825952,39.6887443700926,12771
-96.1540555447075,36.3620300015555,12771
-98.1197410799298,38.0134880134956,12779
-93.9402215905223,39.2617651952551,12784
-94.6052318341765,35.8703234551595,12795
-98.2954854365173,39.3234162090467,12873
-96.2222247622642,38.0606145301954,12923
-96.0415500584725,42.1922456512348,12927
-92.9623344015065,36.9099081291006,12951
-95.6479348946098,40.3855830358462,12959
-96.2346188105378,37.223085029249,12973
-94.524620519552,36.0680004714177,13002
-93.2111722934726,42.8994325960175,13030
-91.8775680713091,37.0289604460941,13049
-96.2483292050395,40.0635836238162,13056
-93.3498383905474,41.3826621791468,13074
-92.352961787555,37.8294839264945,13081
-95.9709356255565,37.8210033608721,13095
-94.4659613981578,42.4528489040331,13136
-97.5303422599766,40.132667904918,13146
-92.3798297844562,42.509940978338,13153
-93.4087515208605,37.1911786256479,13204
-94.0155868917439,36.934223732178,13238
-95.4029502678398,37.6004037877665,13252
-92.9420112106684,42.1794986261175,13275
