"x","y",""
-106.479534883794,39.3216282739577,6933
-106.630062932389,39.3637028236483,6934
-106.322224979193,39.4139066798659,6935
-106.245750725103,39.5635057896948,6937
-106.769834396748,39.9271469319921,6938
-106.631761212678,39.5939117422369,6938
-106.734929005697,39.3933752340563,6950
-106.341460044866,39.4895434486318,6951
-106.630100640452,39.9667622851225,6958
-107.084625523578,39.0242013497858,6964
-107.109071677315,39.5229849463396,6964
-106.101227263523,39.2320387292641,6969
-105.937900062524,39.2690515199958,6972
-106.445840234581,39.6641049589332,6982
-106.215606229314,39.5727151898867,6985
-106.737185289869,40.0249951474909,6986
-106.354660795974,39.1466204884906,6987
-106.090945331011,38.9440791341748,6991
-106.64487960979,39.1266171467517,6994
-106.111749419672,40.2385765016811,6995
-106.660335908212,39.555933944112,7001
-105.586683526198,39.4855183844721,7012
-106.094914364048,39.1108117245581,7013
-106.161841180692,39.9661293790821,7015
-106.028344732571,39.2349579643179,7016
-106.782356100575,39.5527020398137,7020
-105.783601138572,39.4841986926788,7026
-106.060344702679,40.2679890876191,7027
-106.200641273775,39.0139138923703,7029
-106.709043989254,39.2487752108554,7030
-106.446397873546,38.8767652316404,7035
-105.959018843957,39.8023011166981,7043
-107.058762408691,39.8534001633834,7046
-106.120014152782,39.108240718609,7055
-106.449466559291,40.0205492601787,7058
-105.983067296925,39.7414246811136,7061
-106.635794870489,38.6041843847607,7065
-105.876024327387,38.7797671327547,7065
-105.908457360945,39.7036332271998,7066
-106.108496081409,39.8896127488685,7069
-106.22421928363,39.5226357687379,7071
-106.086340178848,39.0260935161145,7072
-106.982279734865,39.6793754074066,7074
-106.1578243888,39.5309828852653,7075
-106.995396400707,39.1334061944337,7075
-105.830492941195,39.8891136552078,7086
-106.143982292698,39.6895668122819,7087
-106.248952302543,40.2003010141328,7088
-106.52518491697,39.7252518238907,7092
-106.739745732557,39.2441843798905,7096
-106.037595293907,40.3158938087377,7098
-105.921798836434,39.223245894806,7099
-106.487094450755,39.1828688962954,7104
-106.519216017957,39.1083546491757,7111
-106.75685730848,39.8328915833796,7113
-106.437411343633,39.1188739018256,7116
-106.278853940022,39.0506206009502,7120
-106.781843890795,38.81789755866,7125
-106.234384659287,38.8919605809102,7126
-106.511528489432,40.0746640667721,7130
-105.978930964225,40.0510672897171,7131
-106.474457389506,39.9718944520987,7131
-106.840306119443,39.0199167298398,7135
-105.818154590442,39.6018488412253,7138
-106.708756019655,39.7691395066158,7145
-106.609932452784,39.4982440043548,7145
-105.748978499274,38.6756437766371,7159
-106.406261695376,39.167225805584,7161
-106.402769110165,40.2041611166517,7164
-106.607861219913,39.0393021057833,7165
-106.457433311069,39.6957389134664,7166
-106.501286820299,39.78586255816,7169
-105.969875358272,38.671629955177,7180
-106.506324199464,40.2246412233827,7183
-106.673714836348,39.6457012277287,7183
-106.578440590713,39.3958233391459,7187
-106.09601550611,39.5067858941929,7187
-106.62621292834,39.738249476973,7192
-106.085424752177,39.8757577230643,7193
-106.758360633259,39.9827922049686,7196
-106.770057149693,39.2725346463825,7201
-106.900872792512,38.8412487449929,7202
-106.476770587164,39.1789734601463,7205
-106.970274025776,38.8590157384789,7206
-106.903151959114,39.5536529770393,7213
-106.525057574951,39.2325695640006,7215
-107.109388612779,39.1023578932975,7216
-106.152152712148,39.4034380358846,7234
-107.046580099217,39.7040353161378,7239
-106.115294123399,39.2820051345699,7246
-106.068986018798,39.1993185920702,7247
-105.790614918084,38.9249904678894,7247
-105.671429804049,39.018141875052,7248
-107.122983980892,39.718916127245,7250
-106.314492475635,39.9265090698278,7251
-107.096541865696,38.9480913549359,7251
-106.852541502198,40.1172036880172,7253
-106.11346986862,39.0776456312966,7275
-105.730285207196,39.8450642960587,7277
-106.981366913583,39.5430599453459,7283
-106.663974188844,39.6131701726151,7286
-105.945536503721,39.6269165849989,7286
-106.022899806041,39.038570788623,7289
